observation_date	NGDPSAXDCCAQ	NGDPRSAXDCCAQ	POPTOTCAA647NWDB
2003-01-01	313687	410389.953125	31642461
2004-01-01	333933	423080.703125	31938807
2005-01-01	355398	436663.531250	32242732
2006-01-01	374151	448182.453125	32571193
2007-01-01	394415	457369.812500	32888886
2008-01-01	414260	461922.484375	33247298
2009-01-01	392834	448457.062500	33630069
2010-01-01	416512	462317.953125	34005902
2011-01-01	443516	476821.781250	34339221
2012-01-01	456800	485193.156250	34713395
2013-01-01	475562	496477.828125	35080992
2014-01-01	498725	510743.984375	35434066
2015-01-01	497610	514063.625000	35704498
2016-01-01	506384	519402.453125	36110803
2017-01-01	535160	535160.281250	36545075
2018-01-01	558919	549839.531250	37072620
2019-01-01	578391	560332.828125	37618495
2020-01-01	555132	532101.953125	38028638
2021-01-01	629281	560233.984375	38239864
2022-01-01	703322	581634.187500	38939056
2023-01-01	723035	588898.328125	40097761
