observation_date	NGDPSAXDCCAQ	NGDPRSAXDCCAQ	POPTOTCAA647NWDB
1979-01-01	71902	218885.023438	24201544
1980-01-01	80696	223650.597656	24515667
1981-01-01	92090	231288.421875	24819915
1982-01-01	97045	223965.472656	25116942
1983-01-01	105329	229704.046875	25366451
1984-01-01	115497	243253.273438	25607053
1985-01-01	125007	254777.824219	25842116
1986-01-01	131658	260182.898438	26100278
1987-01-01	143584	270777.578125	26446601
1988-01-01	156724	282721.156250	26791747
1989-01-01	167895	289329.281250	27276781
1990-01-01	173875	289916.484375	27691138
1991-01-01	175443	283854.125000	28037420
1992-01-01	179609	286381.781250	28371264
1993-01-01	186759	293992.953125	28684764
1994-01-01	197993	307205.156250	29000663
1995-01-01	207905	315445.406250	29302311
1996-01-01	214959	320773.156250	29610218
1997-01-01	226732	334502.781250	29905948
1998-01-01	235137	347524.578125	30155173
1999-01-01	251982	365390.828125	30401286
2000-01-01	276518	384166.578125	30685730
2001-01-01	286136	391370.078125	31020855
2002-01-01	298424	403108.281250	31359199
2003-01-01	313687	410389.953125	31642461
2004-01-01	333933	423080.703125	31938807
2005-01-01	355398	436663.531250	32242732
2006-01-01	374151	448182.453125	32571193
2007-01-01	394415	457369.812500	32888886
2008-01-01	414260	461922.484375	33247298
2009-01-01	392834	448457.062500	33630069
2010-01-01	416512	462317.953125	34005902
2011-01-01	443516	476821.781250	34339221
2012-01-01	456800	485193.156250	34713395
2013-01-01	475562	496477.828125	35080992
2014-01-01	498725	510743.984375	35434066
2015-01-01	497610	514063.625000	35704498
2016-01-01	506384	519402.453125	36110803
2017-01-01	535160	535160.281250	36545075
2018-01-01	558919	549839.531250	37072620
2019-01-01	578391	560332.828125	37618495
2020-01-01	555132	532101.953125	38028638
2021-01-01	629281	560233.984375	38239864
2022-01-01	703322	581634.187500	38939056
2023-01-01	723035	588898.328125	40097761
